,ID,label,tanggal,judul,narasi,nama file gambar
0,71,1,17-Aug-20,Pemakaian Masker Menyebabkan Penyakit Legionnaires,pakai masker sakit covid covid,71.jpg
1,461,1,17-Jul-20,Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR,instruksi gubernur jateng tilang masker muka     tilang anggota grup instruksi gubernur jawa rapat tim tugas covid  jateng,461.png
2,495,1,13-Jul-20,Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia,foto jokowi presiden sejarah bangsa indonesia jokowi presiden sejarah bangsa indonesia dunia,495.png
3,550,1,8-Jul-20,"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.",politik nyata jokowi pulang   triliun uang negara politik nyata jokowi pulang   triliun uang negara triliun bawa indonesia indonesia   resmi dpr  juli  tarik dana selesai juang hadap koruptor agama uang   triliun indonesia sulit dpr  rekening jari tekan jokowi baca berita,550.png
4,681,1,24-Jun-20,Foto Kadrun kalo lihat foto ini panas dingin,foto lihat foto panas lihat foto panas,681.jpg
5,736,1,17-Jun-20,event promo smartphone JNE 2020 spesial di bulan juni, selamat siang informasi kemarin  pro harga   harga   pro ,736.png
6,1161,1,5-May-20,MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,kuasa lihat kuasa,1161.png
7,1597,1,24-Mar-20,Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,foto presiden italia menang lahan kubur korban corona italia fasilitas sehat canggih gagal corona anggap presiden menang lahan kubur korban corona ,1597.png
8,2098,1,9-Jan-20,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",kapolres timur klarifikasi kait video polisi diam korban celaka polisi buka liat,2098.jpg
9,2226,1,24-Dec-19,Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,video polisi china aniaya wanita kaki polisi china aniaya wanita kaki bilang aniaya diam bahasa polisi liat,2226.png
10,2588,1,13-Oct-19,"Akhirnya, Jokowi bersedia mengundurkan diri",jokowi sedia jokowi sedia,2588.png
11,2875,1,26-Aug-19,Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,info jalur rawan begal himbauan malam kapolres begal wilayah wilayah begal harap waspada penuh malam  jalur arah  arah,2875.jpg
12,2987,1,29-Jul-19,Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal Dunia,agung dunia duka juang angkat   juli    moga kuasa dosa aamiin,2987.png
13,3571,1,20-Apr-19,SBY Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,sby suruh jokowi kalah bantu sebar sby suruh kalah info jenderal panik juang  info,3571.png
14,3862,1,2-Mar-19,Foto Anak Rohingya Disiksa Komunis,foto anak rohingya siksa komunis anak cucu bikin anak rohingya komunis kuasa,3862.jpg
15,4081,1,25-Jan-19,orang Cina punya KTP Cilacap atas nama Karsono,cina ktp pln cina bahasa indonesia bahasa jawa ktp camat,4081.png
16,5836,1,14-Apr-18,Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,fadli warga indonesia pilih prabowo pilpres  indonesia warga indonesia pilih prabowo pilpres  indonesia serius ,5836.png
